#t	Raw_data	f_k	FFT_real	FFT_imag	FFT_modulus
0	2.3	0	-2.49072e-06	0	2.49072e-06
0.0981748	2.19111	0.159155	32	-9.53898e-07	32
0.19635	1.88718	0.31831	16	-1.33974e-06	16
0.294524	1.45109	0.477465	-1.38495e-06	-1.92923e-07	1.39833e-06
0.392699	0.971286	0.63662	-2.15092e-06	4.21836e-13	2.15092e-06
0.490874	0.541298	0.795775	25.6	-5.6698e-06	25.6
0.589049	0.238183	0.95493	1.7762e-06	-1.0718e-07	1.77943e-06
0.687223	0.105003	1.11408	1.46731e-07	-3.00103e-07	3.34054e-07
0.785398	0.141421	1.27324	6.34466e-07	-2.44154e-13	6.34466e-07
0.883573	0.30462	1.43239	2.04267e-07	-9.64618e-08	2.25898e-07
0.981748	0.520301	1.59155	2.41376e-07	-5.359e-08	2.47254e-07
1.07992	0.701126	1.7507	-2.00197e-07	-3.64411e-07	4.15781e-07
1.1781	0.768234	1.90986	2.28461e-07	-7.83229e-14	2.28461e-07
1.27627	0.670698	2.06901	-1.5571e-07	-1.82205e-07	2.39676e-07
1.37445	0.398326	2.22817	-6.06716e-08	-2.14359e-07	2.2278e-07
1.47262	-0.015258	2.38732	-3.71044e-07	-5.14462e-07	6.34307e-07
1.5708	-0.5	2.54648	1.30515e-07	-8.07132e-14	1.30515e-07
1.66897	-0.965527	2.70563	2.52893e-08	-9.64617e-08	9.97216e-08
1.76715	-1.32221	2.86479	6.24283e-08	-5.35899e-08	8.22749e-08
1.86532	-1.50217	3.02394	-2.99432e-08	-1.92923e-07	1.95233e-07
1.9635	-1.47534	3.1831	9.13851e-08	-3.76654e-14	9.13851e-08
2.06167	-1.2567	3.34225	-6.046e-08	-1.82205e-07	1.91974e-07
2.15984	-0.902984	3.50141	2.92869e-08	-1.0718e-07	1.11109e-07
2.25802	-0.499711	3.66056	-4.60604e-08	-3.00103e-07	3.03617e-07
2.35619	-0.141421	3.81972	7.2871e-08	-4.64576e-14	7.2871e-08
2.45437	0.0900869	3.97887	3.43296e-08	-9.64617e-08	1.02388e-07
2.55254	0.1445	4.13803	5.11916e-08	-5.35899e-08	7.41111e-08
2.65072	0.0142723	4.29718	3.01246e-08	-7.07385e-07	7.08026e-07
2.74889	-0.264179	4.45634	6.41838e-08	4.45369e-14	6.41838e-08
2.84707	-0.619619	4.61549	1.27849e-08	-1.82205e-07	1.82653e-07
2.94524	-0.963302	4.77465	5.69065e-08	-4.28718e-07	4.32479e-07
3.04342	-1.21033	4.9338	6.54122e-08	-9.4318e-07	9.45446e-07
3.14159	-1.3	5.09296	6.16051e-08	0	6.16051e-08
3.23977	-1.21033	5.25211	6.66398e-08	-9.64616e-08	1.17242e-07
3.33794	-0.963302	5.41127	6.75661e-08	-5.35898e-08	8.62383e-08
3.43612	-0.619619	5.57042	1.06192e-07	-1.92923e-07	2.20218e-07
3.53429	-0.26418	5.72958	6.41838e-08	2.58068e-14	6.41838e-08
3.63247	0.0142721	5.88873	9.06155e-08	-1.82205e-07	2.03494e-07
3.73064	0.1445	6.04789	1.06246e-07	-1.0718e-07	1.50916e-07
3.82882	0.0900871	6.20704	2.00891e-07	-3.00103e-07	3.61136e-07
3.92699	-0.141421	6.3662	7.2871e-08	2.38858e-14	7.2871e-08
4.02517	-0.49971	6.52535	1.23614e-07	-9.64616e-08	1.56797e-07
4.12334	-0.902984	6.68451	1.0949e-07	-5.35898e-08	1.21901e-07
4.22152	-1.2567	6.84366	3.95779e-07	-3.6441e-07	5.37993e-07
4.31969	-1.47534	7.00282	9.13851e-08	7.86825e-14	9.13851e-08
4.41786	-1.50217	7.16197	2.08924e-07	-1.82205e-07	2.77214e-07
4.51604	-1.32221	7.32113	3.12595e-07	-2.14359e-07	3.79032e-07
4.61421	-0.965528	7.48028	6.49228e-07	-5.14462e-07	8.28352e-07
4.71239	-0.5	7.63944	1.30515e-07	8.07132e-14	1.30515e-07
4.81056	-0.0152585	7.79859	2.60473e-07	-9.64615e-08	2.77761e-07
4.90874	0.398326	7.95775	2.3389e-07	-5.35897e-08	2.39951e-07
5.00691	0.670697	8.1169	5.19186e-07	-1.92923e-07	5.53871e-07
5.10509	0.768234	8.27606	2.28461e-07	1.34032e-13	2.28461e-07
5.20326	0.701126	8.43521	5.44772e-07	-1.82205e-07	5.74435e-07
5.30144	0.520301	8.59437	5.80333e-07	-1.07179e-07	5.90148e-07
5.39961	0.304621	8.75352	1.30534e-06	-3.00102e-07	1.33939e-06
5.49779	0.141421	8.91268	6.34466e-07	2.66726e-13	6.34466e-07
5.59596	0.105003	9.07183	1.40451e-06	-9.64611e-08	1.40782e-06
5.69414	0.238183	9.23099	2.30437e-06	-5.3589e-08	2.30499e-06
5.79231	0.541298	9.39014	25.6	8.89591e-06	25.6
5.89049	0.971286	9.5493	-2.15092e-06	-5.88906e-13	2.15092e-06
5.98866	1.45109	9.70845	-3.23297e-07	-1.82206e-07	3.71107e-07
6.08684	1.88718	9.86761	16	3.00103e-06	16
6.18501	2.19111	10.0268	32	5.05888e-06	32


