#i	k	u
0	0	0
1	0	0.36
2	0	0.64
3	0	0.84
4	0	0.96
5	0	1
6	0	0.96
7	0	0.84
8	0	0.64
9	0	0.36
10	0	0
0	1	0
1	1	0.346667
2	1	0.626667
3	1	0.826667
4	1	0.946667
5	1	0.986667
6	1	0.946667
7	1	0.826667
8	1	0.626667
9	1	0.346667
10	1	0
0	2	0
1	2	0.335556
2	2	0.613333
3	2	0.813333
4	2	0.933333
5	2	0.973333
6	2	0.933333
7	2	0.813333
8	2	0.613333
9	2	0.335556
10	2	0
0	3	0
1	3	0.325926
2	3	0.60037
3	3	0.8
4	3	0.92
5	3	0.96
6	3	0.92
7	3	0.8
8	3	0.60037
9	3	0.325926
10	3	0
0	4	0
1	4	0.317346
2	4	0.587901
3	4	0.786728
4	4	0.906667
5	4	0.946667
6	4	0.906667
7	4	0.786728
8	4	0.587901
9	4	0.317346
10	4	0
0	5	0
1	5	0.309547
2	5	0.575947
3	5	0.77358
4	5	0.893344
5	5	0.933333
6	5	0.893344
7	5	0.77358
8	5	0.575947
9	5	0.309547
10	5	0
0	6	0
1	6	0.302356
2	6	0.564486
3	6	0.760602
4	6	0.880048
5	6	0.920003
6	6	0.880048
7	6	0.760602
8	6	0.564486
9	6	0.302356
10	6	0
0	7	0
1	7	0.295652
2	7	0.553483
3	7	0.747824
4	7	0.8668
5	7	0.906685
6	7	0.8668
7	7	0.747824
8	7	0.553483
9	7	0.295652
10	7	0
0	8	0
1	8	0.289348
2	8	0.542901
3	8	0.735263
4	8	0.853618
5	8	0.89339
6	8	0.853618
7	8	0.735263
8	8	0.542901
9	8	0.289348
10	8	0
0	9	0
1	9	0.283382
2	9	0.532703
3	9	0.722928
4	9	0.840521
5	9	0.880132
6	9	0.840521
7	9	0.722928
8	9	0.532703
9	9	0.283382
10	9	0
0	10	0
1	10	0.277705
2	10	0.522854
3	10	0.710823
4	10	0.827524
5	10	0.866929
6	10	0.827524
7	10	0.710823
8	10	0.522854
9	10	0.277705
10	10	0
0	11	0
1	11	0.272279
2	11	0.513324
3	11	0.698945
4	11	0.814641
5	11	0.853794
6	11	0.814641
7	11	0.698945
8	11	0.513324
9	11	0.272279
10	11	0
0	12	0
1	12	0.267073
2	12	0.504087
3	12	0.687291
4	12	0.801884
5	12	0.840743
6	12	0.801884
7	12	0.687291
8	12	0.504087
9	12	0.267073
10	12	0
0	13	0
1	13	0.262063
2	13	0.495118
3	13	0.675856
4	13	0.789261
5	13	0.82779
6	13	0.789261
7	13	0.675856
8	13	0.495118
9	13	0.262063
10	13	0
0	14	0
1	14	0.257229
2	14	0.486399
3	14	0.664634
4	14	0.776782
5	14	0.814947
6	14	0.776782
7	14	0.664634
8	14	0.486399
9	14	0.257229
10	14	0
0	15	0
1	15	0.252552
2	15	0.47791
3	15	0.653619
4	15	0.764451
5	15	0.802225
6	15	0.764451
7	15	0.653619
8	15	0.47791
9	15	0.252552
10	15	0
0	16	0
1	16	0.24802
2	16	0.469635
3	16	0.642806
4	16	0.752275
5	16	0.789634
6	16	0.752275
7	16	0.642806
8	16	0.469635
9	16	0.24802
10	16	0
0	17	0
1	17	0.243619
2	17	0.461561
3	17	0.632189
4	17	0.740257
5	17	0.777181
6	17	0.740257
7	17	0.632189
8	17	0.461561
9	17	0.243619
10	17	0
0	18	0
1	18	0.239339
2	18	0.453675
3	18	0.621762
4	18	0.7284
5	18	0.764873
6	18	0.7284
7	18	0.621762
8	18	0.453675
9	18	0.239339
10	18	0
0	19	0
1	19	0.235172
2	19	0.445967
3	19	0.611521
4	19	0.716706
5	19	0.752715
6	19	0.716706
7	19	0.611521
8	19	0.445967
9	19	0.235172
10	19	0
0	20	0
1	20	0.231109
2	20	0.438427
3	20	0.601459
4	20	0.705176
5	20	0.740712
6	20	0.705176
7	20	0.601459
8	20	0.438427
9	20	0.231109
10	20	0
0	21	0
1	21	0.227144
2	21	0.431046
3	21	0.591573
4	21	0.693813
5	21	0.728867
6	21	0.693813
7	21	0.591573
8	21	0.431046
9	21	0.227144
10	21	0
0	22	0
1	22	0.22327
2	22	0.423817
3	22	0.581859
4	22	0.682615
5	22	0.717182
6	22	0.682615
7	22	0.581859
8	22	0.423817
9	22	0.22327
10	22	0
0	23	0
1	23	0.219483
2	23	0.416733
3	23	0.572311
4	23	0.671584
5	23	0.70566
6	23	0.671584
7	23	0.572311
8	23	0.416733
9	23	0.219483
10	23	0
0	24	0
1	24	0.215778
2	24	0.409788
3	24	0.562927
4	24	0.660718
5	24	0.694301
6	24	0.660718
7	24	0.562927
8	24	0.409788
9	24	0.215778
10	24	0
0	25	0
1	25	0.21215
2	25	0.402976
3	25	0.553702
4	25	0.650016
5	25	0.683107
6	25	0.650016
7	25	0.553702
8	25	0.402976
9	25	0.21215
10	25	0
0	26	0
1	26	0.208596
2	26	0.396292
3	26	0.544633
4	26	0.639479
5	26	0.672077
6	26	0.639479
7	26	0.544633
8	26	0.396292
9	26	0.208596
10	26	0
0	27	0
1	27	0.205113
2	27	0.389733
3	27	0.535718
4	27	0.629104
5	27	0.661211
6	27	0.629104
7	27	0.535718
8	27	0.389733
9	27	0.205113
10	27	0
0	28	0
1	28	0.201697
2	28	0.383294
3	28	0.526951
4	28	0.618891
5	28	0.650509
6	28	0.618891
7	28	0.526951
8	28	0.383294
9	28	0.201697
10	28	0
0	29	0
1	29	0.198347
2	29	0.376971
3	29	0.518332
4	29	0.608837
5	29	0.639969
6	29	0.608837
7	29	0.518332
8	29	0.376971
9	29	0.198347
10	29	0
0	30	0
1	30	0.19506
2	30	0.37076
3	30	0.509856
4	30	0.598942
5	30	0.629592
6	30	0.598942
7	30	0.509856
8	30	0.37076
9	30	0.19506
10	30	0
0	31	0
1	31	0.191833
2	31	0.364659
3	31	0.501521
4	31	0.589202
5	31	0.619375
6	31	0.589202
7	31	0.501521
8	31	0.364659
9	31	0.191833
10	31	0
0	32	0
1	32	0.188665
2	32	0.358665
3	32	0.493324
4	32	0.579618
5	32	0.609318
6	32	0.579618
7	32	0.493324
8	32	0.358665
9	32	0.188665
10	32	0
0	33	0
1	33	0.185554
2	33	0.352775
3	33	0.485263
4	33	0.570185
5	33	0.599418
6	33	0.570185
7	33	0.485263
8	33	0.352775
9	33	0.185554
10	33	0
0	34	0
1	34	0.182499
2	34	0.346986
3	34	0.477336
4	34	0.560904
5	34	0.589674
6	34	0.560904
7	34	0.477336
8	34	0.346986
9	34	0.182499
10	34	0
0	35	0
1	35	0.179497
2	35	0.341297
3	35	0.469539
4	35	0.551771
5	35	0.580084
6	35	0.551771
7	35	0.469539
8	35	0.341297
9	35	0.179497
10	35	0
