A1: 1	A2: 1
w1: 0.1	w2: 0.1
phi1: 0pi	phi2: 0pi
x1,x2,x,t
1,1,2,0
0.995004,0.995004,1.99001,1
0.980067,0.980067,1.96013,2
0.955336,0.955336,1.91067,3
0.921061,0.921061,1.84212,4
0.877583,0.877583,1.75517,5
0.825336,0.825336,1.65067,6
0.764842,0.764842,1.52968,7
0.696707,0.696707,1.39341,8
0.62161,0.62161,1.24322,9
0.540302,0.540302,1.0806,10
0.453596,0.453596,0.907192,11
0.362358,0.362358,0.724716,12
0.267499,0.267499,0.534998,13
0.169967,0.169967,0.339934,14
0.0707372,0.0707372,0.141474,15
-0.0291995,-0.0291995,-0.058399,16
-0.128844,-0.128844,-0.257689,17
-0.227202,-0.227202,-0.454404,18
-0.32329,-0.32329,-0.646579,19
-0.416147,-0.416147,-0.832294,20
-0.504846,-0.504846,-1.00969,21
-0.588501,-0.588501,-1.177,22
-0.666276,-0.666276,-1.33255,23
-0.737394,-0.737394,-1.47479,24
-0.801144,-0.801144,-1.60229,25
-0.856889,-0.856889,-1.71378,26
-0.904072,-0.904072,-1.80814,27
-0.942222,-0.942222,-1.88444,28
-0.970958,-0.970958,-1.94192,29
-0.989992,-0.989992,-1.97998,30
-0.999135,-0.999135,-1.99827,31
-0.998295,-0.998295,-1.99659,32
-0.98748,-0.98748,-1.97496,33
-0.966798,-0.966798,-1.9336,34
-0.936457,-0.936457,-1.87291,35
-0.896758,-0.896758,-1.79352,36
-0.8481,-0.8481,-1.6962,37
-0.790968,-0.790968,-1.58194,38
-0.725932,-0.725932,-1.45186,39
-0.653644,-0.653644,-1.30729,40
-0.574824,-0.574824,-1.14965,41
-0.490261,-0.490261,-0.980522,42
-0.400799,-0.400799,-0.801598,43
-0.307333,-0.307333,-0.614666,44
-0.210796,-0.210796,-0.421592,45
-0.112153,-0.112153,-0.224305,46
-0.0123887,-0.0123887,-0.0247773,47
0.087499,0.087499,0.174998,48
0.186512,0.186512,0.373025,49
0.283662,0.283662,0.567324,50
0.377978,0.377978,0.755955,51
0.468517,0.468517,0.937033,52
0.554374,0.554374,1.10875,53
0.634693,0.634693,1.26939,54
0.70867,0.70867,1.41734,55
0.775566,0.775566,1.55113,56
0.834713,0.834713,1.66943,57
0.88552,0.88552,1.77104,58
0.927478,0.927478,1.85496,59
0.96017,0.96017,1.92034,60
0.983268,0.983268,1.96654,61
0.996542,0.996542,1.99308,62
0.999859,0.999859,1.99972,63
0.993185,0.993185,1.98637,64
0.976588,0.976588,1.95318,65
0.950233,0.950233,1.90047,66
0.914383,0.914383,1.82877,67
0.869397,0.869397,1.73879,68
0.815725,0.815725,1.63145,69
0.753902,0.753902,1.5078,70
0.684547,0.684547,1.36909,71
0.608351,0.608351,1.2167,72
0.526078,0.526078,1.05216,73
0.438547,0.438547,0.877095,74
0.346635,0.346635,0.693271,75
0.25126,0.25126,0.50252,76
0.153374,0.153374,0.306748,77
0.0539554,0.0539554,0.107911,78
-0.0460021,-0.0460021,-0.0920043,79
-0.1455,-0.1455,-0.291,80
-0.243544,-0.243544,-0.487088,81
-0.339155,-0.339155,-0.67831,82
-0.431377,-0.431377,-0.862754,83
-0.519289,-0.519289,-1.03858,84
-0.602012,-0.602012,-1.20402,85
-0.67872,-0.67872,-1.35744,86
-0.748647,-0.748647,-1.49729,87
-0.811093,-0.811093,-1.62219,88
-0.865435,-0.865435,-1.73087,89
-0.91113,-0.91113,-1.82226,90
-0.947722,-0.947722,-1.89544,91
-0.974844,-0.974844,-1.94969,92
-0.992225,-0.992225,-1.98445,93
-0.999693,-0.999693,-1.99939,94
-0.997172,-0.997172,-1.99434,95
-0.984688,-0.984688,-1.96938,96
-0.962365,-0.962365,-1.92473,97
-0.930426,-0.930426,-1.86085,98
-0.889191,-0.889191,-1.77838,99
-0.839072,-0.839072,-1.67814,100
-0.780568,-0.780568,-1.56114,101
-0.714266,-0.714266,-1.42853,102
-0.640826,-0.640826,-1.28165,103
-0.560984,-0.560984,-1.12197,104
-0.475537,-0.475537,-0.951074,105
-0.385338,-0.385338,-0.770676,106
-0.291289,-0.291289,-0.582579,107
-0.19433,-0.19433,-0.38866,108
-0.0954289,-0.0954289,-0.190858,109
0.0044257,0.0044257,0.0088514,110
0.104236,0.104236,0.208472,111
0.203005,0.203005,0.40601,112
0.299745,0.299745,0.599491,113
0.393491,0.393491,0.786982,114
0.483305,0.483305,0.96661,115
0.56829,0.56829,1.13658,116
0.647596,0.647596,1.29519,117
0.720432,0.720432,1.44086,118
0.78607,0.78607,1.57214,119
0.843854,0.843854,1.68771,120
0.893206,0.893206,1.78641,121
0.933634,0.933634,1.86727,122
0.964733,0.964733,1.92947,123
0.986192,0.986192,1.97238,124
0.997798,0.997798,1.9956,125
0.999435,0.999435,1.99887,126
0.991085,0.991085,1.98217,127
0.972833,0.972833,1.94567,128
0.94486,0.94486,1.88972,129
0.907447,0.907447,1.81489,130
0.860967,0.860967,1.72193,131
0.805884,0.805884,1.61177,132
0.742749,0.742749,1.4855,133
0.672193,0.672193,1.34439,134
0.594921,0.594921,1.18984,135
0.511704,0.511704,1.02341,136
0.423375,0.423375,0.846749,137
0.330815,0.330815,0.66163,138
0.23495,0.23495,0.4699,139
0.136737,0.136737,0.273474,140
0.0371584,0.0371584,0.0743168,141
-0.0627917,-0.0627917,-0.125583,142
-0.162114,-0.162114,-0.324229,143
-0.259817,-0.259817,-0.519635,144
-0.354924,-0.354924,-0.709849,145
-0.446485,-0.446485,-0.89297,146
-0.533584,-0.533584,-1.06717,147
-0.615352,-0.615352,-1.2307,148
-0.690972,-0.690972,-1.38194,149
-0.759688,-0.759688,-1.51938,150
-0.820813,-0.820813,-1.64163,151
-0.873737,-0.873737,-1.74747,152
-0.917931,-0.917931,-1.83586,153
-0.952953,-0.952953,-1.90591,154
-0.978453,-0.978453,-1.95691,155
-0.994178,-0.994178,-1.98836,156
-0.999968,-0.999968,-1.99994,157
-0.995768,-0.995768,-1.99154,158
-0.981618,-0.981618,-1.96324,159
-0.957659,-0.957659,-1.91532,160
-0.924133,-0.924133,-1.84827,161
-0.881372,-0.881372,-1.76274,162
-0.829806,-0.829806,-1.65961,163
-0.769948,-0.769948,-1.5399,164
-0.702397,-0.702397,-1.40479,165
-0.627828,-0.627828,-1.25566,166
-0.546986,-0.546986,-1.09397,167
-0.460679,-0.460679,-0.921357,168
-0.369768,-0.369768,-0.739537,169
-0.275163,-0.275163,-0.550327,170
-0.177809,-0.177809,-0.355618,171
-0.0786782,-0.0786782,-0.157356,172
0.0212388,0.0212388,0.0424776,173
0.120944,0.120944,0.241887,174
0.21944,0.21944,0.43888,175
0.315744,0.315744,0.631488,176
0.408893,0.408893,0.817785,177
0.497956,0.497956,0.995912,178
0.582044,0.582044,1.16409,179
0.660317,0.660317,1.32063,180
0.731991,0.731991,1.46398,181
0.796352,0.796352,1.5927,182
0.852757,0.852757,1.70551,183
0.90064,0.90064,1.80128,184
0.939525,0.939525,1.87905,185
0.969022,0.969022,1.93804,186
0.988837,0.988837,1.97767,187
0.998772,0.998772,1.99754,188
0.998728,0.998728,1.99746,189
0.988705,0.988705,1.97741,190
0.968802,0.968802,1.9376,191
0.93922,0.93922,1.87844,192
0.900254,0.900254,1.80051,193
0.852292,0.852292,1.70458,194
0.795815,0.795815,1.59163,195
