#sample data
x	y
5	0.000295457
50	0.0265962
95	0.000295457


#interpolating points and real one
x	y	yreal
5	0.000295457	0.000295457
5.9	0.00133696	0.00035309
6.8	0.00235743	0.000420448
7.7	0.00335686	0.000498858
8.6	0.00433524	0.000589764
9.5	0.00529259	0.000694729
10.4	0.00622889	0.000815435
11.3	0.00714416	0.000953674
12.2	0.00803838	0.00111134
13.1	0.00891156	0.00129042
14	0.00976371	0.00149297
14.9	0.0105948	0.00172111
15.8	0.0114049	0.00197697
16.7	0.0121939	0.00226272
17.6	0.0129619	0.00258046
18.5	0.0137088	0.00293224
19.4	0.0144347	0.00332001
20.3	0.0151396	0.00374554
21.2	0.0158234	0.00421044
22.1	0.0164862	0.00471603
23	0.0171279	0.00526334
23.9	0.0177486	0.00585307
24.8	0.0183483	0.00648548
25.7	0.0189269	0.00716041
26.6	0.0194844	0.00787715
27.5	0.020021	0.00863451
28.4	0.0205365	0.00943066
29.3	0.0210309	0.0102632
30.2	0.0215043	0.0111291
31.1	0.0219567	0.0120247
32	0.022388	0.0129457
32.9	0.0227983	0.0138872
33.8	0.0231876	0.0148436
34.7	0.0235558	0.0158088
35.6	0.023903	0.0167763
36.5	0.0242291	0.017739
37.4	0.0245342	0.0186896
38.3	0.0248182	0.0196203
39.2	0.0250812	0.0205234
40.1	0.0253232	0.0213909
41	0.0255441	0.022215
41.9	0.025744	0.0229879
42.8	0.0259229	0.0237022
43.7	0.0260807	0.0243508
44.6	0.0262174	0.0249274
45.5	0.0263331	0.0254259
46.4	0.0264278	0.0258411
47.3	0.0265015	0.0261688
48.2	0.0265541	0.0264053
49.1	0.0265856	0.0265483
50	0.0265962	0.0265962
50.9	0.0265856	0.0265483
51.8	0.0265541	0.0264053
52.7	0.0265015	0.0261688
53.6	0.0264278	0.0258411
54.5	0.0263331	0.0254259
55.4	0.0262174	0.0249274
56.3	0.0260807	0.0243508
57.2	0.0259229	0.0237022
58.1	0.025744	0.0229879
59	0.0255441	0.022215
59.9	0.0253232	0.0213909
60.8	0.0250812	0.0205234
61.7	0.0248182	0.0196203
62.6	0.0245342	0.0186896
63.5	0.0242291	0.017739
64.4	0.023903	0.0167763
65.3	0.0235558	0.0158088
66.2	0.0231876	0.0148436
67.1	0.0227983	0.0138872
68	0.022388	0.0129457
68.9	0.0219567	0.0120247
69.8	0.0215043	0.0111291
70.7	0.0210309	0.0102632
71.6	0.0205365	0.00943066
72.5	0.020021	0.00863451
73.4	0.0194844	0.00787715
74.3	0.0189269	0.00716041
75.2	0.0183483	0.00648548
76.1	0.0177486	0.00585307
77	0.0171279	0.00526334
77.9	0.0164862	0.00471603
78.8	0.0158234	0.00421044
79.7	0.0151396	0.00374554
80.6	0.0144347	0.00332001
81.5	0.0137088	0.00293224
82.4	0.0129619	0.00258046
83.3	0.0121939	0.00226272
84.2	0.0114049	0.00197697
85.1	0.0105948	0.00172111
86	0.00976371	0.00149297
86.9	0.00891156	0.00129042
87.8	0.00803838	0.00111134
88.7	0.00714416	0.000953674
89.6	0.00622889	0.000815435
90.5	0.00529259	0.000694729
91.4	0.00433524	0.000589764
92.3	0.00335686	0.000498858
93.2	0.00235743	0.000420448
94.1	0.00133696	0.00035309
95	0.000295457	0.000295457


#sample data
x	y
5	0.000295457
27.5	0.00863451
50	0.0265962
72.5	0.00863451
95	0.000295457


#interpolating points and real one
x	y	yreal
5	0.000295457	0.000295457
5.9	-0.000972628	0.00035309
6.8	-0.00203036	0.000420448
7.7	-0.00288906	0.000498858
8.6	-0.0035598	0.000589764
9.5	-0.00405343	0.000694729
10.4	-0.00438054	0.000815435
11.3	-0.00455153	0.000953674
12.2	-0.00457653	0.00111134
13.1	-0.00446546	0.00129042
14	-0.00422799	0.00149297
14.9	-0.00387357	0.00172111
15.8	-0.0034114	0.00197697
16.7	-0.00285048	0.00226272
17.6	-0.00219953	0.00258046
18.5	-0.00146708	0.00293224
19.4	-0.000661397	0.00332001
20.3	0.000209467	0.00374554
21.2	0.0011377	0.00421044
22.1	0.00211573	0.00471603
23	0.00313621	0.00526334
23.9	0.00419201	0.00585307
24.8	0.00527628	0.00648548
25.7	0.00638235	0.00716041
26.6	0.00750382	0.00787715
27.5	0.00863451	0.00863451
28.4	0.00976846	0.00943066
29.3	0.0109	0.0102632
30.2	0.0120236	0.0111291
31.1	0.013134	0.0120247
32	0.0142262	0.0129457
32.9	0.0152955	0.0138872
33.8	0.0163372	0.0148436
34.7	0.0173472	0.0158088
35.6	0.0183212	0.0167763
36.5	0.0192555	0.017739
37.4	0.0201464	0.0186896
38.3	0.0209905	0.0196203
39.2	0.0217848	0.0205234
40.1	0.0225262	0.0213909
41	0.0232122	0.022215
41.9	0.0238402	0.0229879
42.8	0.024408	0.0237022
43.7	0.0249137	0.0243508
44.6	0.0253555	0.0249274
45.5	0.0257319	0.0254259
46.4	0.0260417	0.0258411
47.3	0.0262836	0.0261688
48.2	0.0264571	0.0264053
49.1	0.0265614	0.0265483
50	0.0265962	0.0265962
50.9	0.0265614	0.0265483
51.8	0.0264571	0.0264053
52.7	0.0262836	0.0261688
53.6	0.0260417	0.0258411
54.5	0.0257319	0.0254259
55.4	0.0253555	0.0249274
56.3	0.0249137	0.0243508
57.2	0.024408	0.0237022
58.1	0.0238402	0.0229879
59	0.0232122	0.022215
59.9	0.0225262	0.0213909
60.8	0.0217848	0.0205234
61.7	0.0209905	0.0196203
62.6	0.0201464	0.0186896
63.5	0.0192555	0.017739
64.4	0.0183212	0.0167763
65.3	0.0173472	0.0158088
66.2	0.0163372	0.0148436
67.1	0.0152955	0.0138872
68	0.0142262	0.0129457
68.9	0.013134	0.0120247
69.8	0.0120236	0.0111291
70.7	0.0109	0.0102632
71.6	0.00976846	0.00943066
72.5	0.00863451	0.00863451
73.4	0.00750382	0.00787715
74.3	0.00638235	0.00716041
75.2	0.00527628	0.00648548
76.1	0.00419201	0.00585307
77	0.00313621	0.00526334
77.9	0.00211573	0.00471603
78.8	0.0011377	0.00421044
79.7	0.000209467	0.00374554
80.6	-0.000661397	0.00332001
81.5	-0.00146708	0.00293224
82.4	-0.00219953	0.00258046
83.3	-0.00285048	0.00226272
84.2	-0.0034114	0.00197697
85.1	-0.00387357	0.00172111
86	-0.00422799	0.00149297
86.9	-0.00446546	0.00129042
87.8	-0.00457653	0.00111134
88.7	-0.00455153	0.000953674
89.6	-0.00438054	0.000815435
90.5	-0.00405343	0.000694729
91.4	-0.0035598	0.000589764
92.3	-0.00288906	0.000498858
93.2	-0.00203036	0.000420448
94.1	-0.000972628	0.00035309
95	0.000295457	0.000295457


#sample data
x	y
5	0.000295457
20	0.0035994
35	0.0161314
50	0.0265962
65	0.0161314
80	0.0035994
95	0.000295457


#interpolating points and real one
x	y	yreal
5	0.000295457	0.000295457
5.9	0.00139499	0.00035309
6.8	0.00221055	0.000420448
7.7	0.00278931	0.000498858
8.6	0.00317429	0.000589764
9.5	0.00340448	0.000694729
10.4	0.00351512	0.000815435
11.3	0.00353784	0.000953674
12.2	0.00350086	0.00111134
13.1	0.00342917	0.00129042
14	0.00334474	0.00149297
14.9	0.00326666	0.00172111
15.8	0.00321131	0.00197697
16.7	0.00319256	0.00226272
17.6	0.0032219	0.00258046
18.5	0.00330861	0.00293224
19.4	0.00345993	0.00332001
20.3	0.00368117	0.00374554
21.2	0.00397591	0.00421044
22.1	0.00434608	0.00471603
23	0.00479217	0.00526334
23.9	0.00531329	0.00585307
24.8	0.00590735	0.00648548
25.7	0.00657116	0.00716041
26.6	0.00730055	0.00787715
27.5	0.0080905	0.00863451
28.4	0.00893526	0.00943066
29.3	0.00982841	0.0102632
30.2	0.010763	0.0111291
31.1	0.0117318	0.0120247
32	0.0127269	0.0129457
32.9	0.0137404	0.0138872
33.8	0.0147643	0.0148436
34.7	0.0157903	0.0158088
35.6	0.0168103	0.0167763
36.5	0.017816	0.017739
37.4	0.0187996	0.0186896
38.3	0.0197532	0.0196203
39.2	0.0206694	0.0205234
40.1	0.021541	0.0213909
41	0.0223612	0.022215
41.9	0.0231236	0.0229879
42.8	0.0238223	0.0237022
43.7	0.0244519	0.0243508
44.6	0.0250077	0.0249274
45.5	0.0254853	0.0254259
46.4	0.0258811	0.0258411
47.3	0.0261922	0.0261688
48.2	0.026416	0.0264053
49.1	0.026551	0.0265483
50	0.0265962	0.0265962
50.9	0.026551	0.0265483
51.8	0.026416	0.0264053
52.7	0.0261922	0.0261688
53.6	0.0258811	0.0258411
54.5	0.0254853	0.0254259
55.4	0.0250077	0.0249274
56.3	0.0244519	0.0243508
57.2	0.0238223	0.0237022
58.1	0.0231236	0.0229879
59	0.0223612	0.022215
59.9	0.021541	0.0213909
60.8	0.0206694	0.0205234
61.7	0.0197532	0.0196203
62.6	0.0187996	0.0186896
63.5	0.017816	0.017739
64.4	0.0168103	0.0167763
65.3	0.0157903	0.0158088
66.2	0.0147643	0.0148436
67.1	0.0137404	0.0138872
68	0.0127269	0.0129457
68.9	0.0117318	0.0120247
69.8	0.010763	0.0111291
70.7	0.00982841	0.0102632
71.6	0.00893526	0.00943066
72.5	0.0080905	0.00863451
73.4	0.00730055	0.00787715
74.3	0.00657116	0.00716041
75.2	0.00590735	0.00648548
76.1	0.00531329	0.00585307
77	0.00479217	0.00526334
77.9	0.00434608	0.00471603
78.8	0.00397591	0.00421044
79.7	0.00368117	0.00374554
80.6	0.00345993	0.00332001
81.5	0.00330861	0.00293224
82.4	0.0032219	0.00258046
83.3	0.00319256	0.00226272
84.2	0.00321131	0.00197697
85.1	0.00326666	0.00172111
86	0.00334474	0.00149297
86.9	0.00342917	0.00129042
87.8	0.00350086	0.00111134
88.7	0.00353784	0.000953674
