Linear correlation coefficient:-0.909336
Standard deviation of fitting:0.189625
A0:-5.46565	Standard deviation of A0:0.0270225
A1:-0.0281388	Standard deviation of A1:0.000922264
Final model:y(N) = 0.0042296e^-0.0281388N
x	y	predicted y
1	0.00934643	0.00411224
2	0.0063012	0.00399814
3	0.00539	0.00388721
4	0.0046551	0.00377935
5	0.00410297	0.00367449
6	0.00378095	0.00357253
7	0.00346707	0.00347341
8	0.00327529	0.00337703
9	0.00301867	0.00328333
10	0.00291697	0.00319223
11	0.00274571	0.00310366
12	0.00265712	0.00301754
13	0.00248758	0.00293381
14	0.00247771	0.00285241
15	0.00233764	0.00277327
16	0.00229452	0.00269632
17	0.00221232	0.0026215
18	0.00211277	0.00254877
19	0.00213668	0.00247805
20	0.00207328	0.00240929
21	0.00201727	0.00234244
22	0.00191824	0.00227745
23	0.00195774	0.00221425
24	0.00183174	0.00215282
25	0.00178979	0.00209308
26	0.00178355	0.00203501
27	0.00172372	0.00197854
28	0.00169425	0.00192364
29	0.00168935	0.00187027
30	0.00172602	0.00181838
31	0.00159676	0.00176792
32	0.00165881	0.00171887
33	0.00158065	0.00167118
34	0.00159136	0.00162481
35	0.0015583	0.00157972
36	0.00145738	0.00153589
37	0.0014721	0.00149328
38	0.00150308	0.00145184
39	0.00139459	0.00141156
40	0.0013852	0.00137239
41	0.00139508	0.00133431
42	0.00139755	0.00129729
43	0.0013812	0.0012613
44	0.00136453	0.0012263
45	0.00134254	0.00119227
46	0.00132058	0.00115919
47	0.00127471	0.00112703
48	0.00134784	0.00109576
49	0.00132806	0.00106535
50	0.00130499	0.00103579


Linear correlation coefficient:-0.998902
Standard deviation of fitting:0.0210493
A0:-4.69753	Standard deviation of A0:0.00300457
A1:-0.499482	Standard deviation of A1:0.000970073
Final model:y(N) = 0.00911777N^-0.499482
x	y	predicted y
1	0.00906889	0.00911777
2	0.00643378	0.00644955
3	0.00521291	0.00526714
4	0.00467849	0.00456216
5	0.00405011	0.00408099
6	0.00364218	0.00372577
7	0.00348896	0.00344967
8	0.00316508	0.00322709
9	0.00304027	0.00304272
10	0.00292517	0.00288673
11	0.00267766	0.00275253
12	0.00265103	0.00263546
13	0.00259975	0.00253217
14	0.00244985	0.00244016
15	0.00234811	0.0023575
16	0.00227141	0.00228272
17	0.00225854	0.00221463
18	0.00217043	0.0021523
19	0.00215028	0.00209495
20	0.00199843	0.00204196
21	0.00202762	0.0019928
22	0.00194386	0.00194703
23	0.00189027	0.00190428
24	0.00186808	0.00186422
25	0.00184924	0.0018266
26	0.00180583	0.00179116
27	0.00177994	0.00175771
28	0.00174632	0.00172607
29	0.00175807	0.00169608
30	0.00166888	0.0016676
31	0.00165712	0.00164051
32	0.00164525	0.0016147
33	0.00155563	0.00159008
34	0.00151656	0.00156654
35	0.00147006	0.00154402
36	0.00150087	0.00152245
37	0.0015172	0.00150176
38	0.00147961	0.00148189
39	0.00149358	0.00146278
40	0.00139313	0.0014444
41	0.00142977	0.0014267
42	0.0013979	0.00140963
43	0.00135037	0.00139316
44	0.00142928	0.00137725
45	0.00134929	0.00136188
46	0.00130928	0.00134701
47	0.00133182	0.00133262
48	0.00126648	0.00131868
49	0.00134067	0.00130517
50	0.00134836	0.00129206


