xp	yp
# y(N) = a e^{bN}
1	-4.67276
2	-5.06702
3	-5.22321
4	-5.36979
5	-5.49605
6	-5.57778
7	-5.66445
8	-5.72135
9	-5.80294
10	-5.83721
11	-5.89772
12	-5.93051
13	-5.99645
14	-6.00042
15	-6.05861
16	-6.07723
17	-6.11371
18	-6.15975
19	-6.1485
20	-6.17862
21	-6.20601
22	-6.25635
23	-6.23596
24	-6.30249
25	-6.32566
26	-6.32915
27	-6.36327
28	-6.38051
29	-6.38341
30	-6.36194
31	-6.43978
32	-6.40165
33	-6.44992
34	-6.44317
35	-6.46416
36	-6.53112
37	-6.52106
38	-6.50024
39	-6.57515
40	-6.58191
41	-6.57481
42	-6.57303
43	-6.5848
44	-6.59695
45	-6.61319
46	-6.62968
47	-6.66504
48	-6.60925
49	-6.62404
50	-6.64156


xp	yp
# y(N) = a N^b
0	-4.70291
0.693147	-5.04619
1.09861	-5.25662
1.38629	-5.36478
1.60944	-5.50901
1.79176	-5.61517
1.94591	-5.65815
2.07944	-5.75558
2.19722	-5.79581
2.30259	-5.8344
2.3979	-5.92281
2.48491	-5.93281
2.56495	-5.95234
2.63906	-6.01173
2.70805	-6.05414
2.77259	-6.08736
2.83321	-6.09304
2.89037	-6.13283
2.94444	-6.14216
2.99573	-6.21539
3.04452	-6.20089
3.09104	-6.24308
3.13549	-6.27104
3.17805	-6.28284
3.21888	-6.29298
3.2581	-6.31674
3.29584	-6.33118
3.3322	-6.35024
3.3673	-6.34354
3.4012	-6.3956
3.43399	-6.40268
3.46574	-6.40986
3.49651	-6.46588
3.52636	-6.49131
3.55535	-6.52245
3.58352	-6.50171
3.61092	-6.49089
3.63759	-6.51598
3.66356	-6.50658
3.68888	-6.5762
3.71357	-6.55024
3.73767	-6.57279
3.7612	-6.60738
3.78419	-6.55059
3.80666	-6.60818
3.82864	-6.63828
3.85015	-6.62121
3.8712	-6.67151
3.89182	-6.61459
3.91202	-6.60887


